Período;Lunes;Martes;Miércoles;Jueves;Viernes
"1";"21049 - Óptica y Ondas";"21049 - Sistemas de Bases de Datos";"21049 - Investigación de Operaciones";"21049 - Estructuras de Datos";"21041 - Desempeño de Sistemas";
"2";"21049 - Álgebra Superior";"21049 - Sistemas Económicos";"21049 - Inteligencia Competitiva";"21049 - Estadística y Probabilidades";"21049 - Cálculo Integral";
"3";"21049 - Álgebra Clásica";"21049 - Redes y Comunicación de Datos";"21049 - Inglés II";"21049 - Electromagnetismo";"21049 - Cálculo Diferencial";
"4";"21041 - Tecnología de Computadores";"21049 - Química General";"21049 - Inglés I";"21049 - Electivo de Formación Especializada III";"21049 - Cálculo Avanzado";
"5";"21041 - Taller de Sistemas de Información";"21041 - Optimización de Sistemas";"21049 - Ingeniería de Software";"21049 - Electivo de Formación Especializada I";"21049 - Circuitos Eléctricos";
"6";"21049 - Taller de Matemáticas";"21041 - Minería de Datos";"21049 - Ingeniería Ambiental";"21049 - Electivo de Formación Deportiva";"21041 - Auditoría de Sistemas y Seguridad Informática";
"7";"21041 - Taller de Innovación y Emprendimiento";"21049 - Mecánica Clásica";"21071 - Geometría Plana II";"21071 - Dibujo de Máquinas II";"21049 - Análisis de Algoritmos";
"8";"21049 - Taller de Ciencia y Tecnología";"21049 - Lenguajes de Programación";"21049 - Evaluación de Proyectos";"21071 - Dibujo de Arquitectura III";"21049 - Algoritmos y Programación";
