Período;Lunes;Martes;Miércoles;Jueves;Viernes
"1";"21041 - Óptica y Ondas";"21041 - Sistemas de Administración";"21041 - Investigación de Operaciones";"21041 - Estructuras de Datos";"21030 - Desempeño de Sistemas Computacionales";
"2";"21041 - Álgebra Superior";"21041 - Sistemas Económicos";"21071 - Instalaciones Sanitarias";"21041 - Estadística y Probabilidades";"21041 - Cálculo Integral";
"3";"21041 - Álgebra Clásica";"21041 - Redes y Comunicación de Datos";"21041 - Inglés II";"21041 - Electromagnetismo";"21041 - Cálculo Diferencial";
"4";"21049 - Taller para el Desarrollo del Pensamiento Lógico";"21041 - Química General";"21041 - Inglés I";"21041 - Electivo de Formación Especializada III";"21041 - Cálculo Avanzado";
"5";"21030 - Taller de Sistemas de Información";"21049 - Optimización Heurística";"21041 - Ingeniería de Software";"21041 - Electivo de Formación Especializada I";"21041 - Circuitos Eléctricos";
"6";"21041 - Taller de Matemática";"21049 - Metodología de Investigación en Ciencia de Datos";"21041 - Ingeniería Ambiental";"21041 - Electivo de Formación Deportiva";"21041 - Arquitectura de Computadores";
"7";"21030 - Taller de Innovación y Emprendimiento";"21041 - Mecánica Clásica";"21071 - Geometría Plana I";"21071 - Dibujo de Máquinas I";"21041 - Análisis de Algoritmos";
"8";"21041 - Taller de Ciencia y Tecnología";"21041 - Lenguajes de Programación";"21030 - Evaluación de Proyectos";"21071 - Dibujo de Arquitectura II";"21041 - Algoritmos y Programación";
