Período;Lunes;Martes;Miércoles;Jueves;Viernes
"1";"21030 - Óptica y Ondas";"21041 - Sistemas Operativos";"21030 - Investigación de Operaciones";"21030 - Estructuras de Datos";"21049 - Deep Learning";
"2";"21030 - Álgebra Superior";"21030 - Sistemas Económicos";"21071 - Instalaciones Eléctricas y de Gas";"21030 - Estadística y Probabilidad";"21030 - Cálculo Integral";
"3";"21030 - Álgebra Clásica";"21030 - Redes y Comunicación de Datos";"21030 - Inglés II";"21030 - Electromagnetismo";"21030 - Cálculo Diferencial";
"4";"21030 - Taller para el Desarrollo del Pensamiento Lógico";"21030 - Química General";"21030 - Inglés I";"21049 - Electivo de Formación Especializada II";"21030 - Cálculo Avanzado";
"5";"21049 - Taller de Principios de Sustentabilidad";"21041 - Métodos Numéricos";"21030 - Ingeniería de Software";"21030 - Electivo de Formación Especializada I";"21030 - Circuitos Eléctricos";
"6";"21030 - Taller de Matemática";"21049 - Mecánica para Ingeniería";"21030 - Ingeniería Ambiental";"21030 - Electivo de Formación Deportiva";"21030 - Arquitectura de Computadores";
"7";"21049 - Taller de Comunicación Efectiva";"21030 - Mecánica Clásica";"21071 - Geometría Descriptiva";"21071 - Dibujo de Matricería";"21030 - Análisis de Algoritmos";
"8";"21030 - Taller de Ciencia y Tecnología";"21030 - Lenguajes de Programación";"21049 - Evaluación de Proyectos Informáticos";"21071 - Dibujo de Arquitectura I";"21030 - Algoritmos y Programación";
