Período;Lunes;Martes;Miércoles;Jueves;Viernes
"1";"21049 - Visualización de Datos";"21030 - Sistemas Operativos";"21049 - Introducción a la Ingeniería de Datos";"21071 - Estructuras I";"21071 - Cubicación y Presupuestos";
"2";"21030 - Termodinámica para Ingeniería";"21041 - Simulación de Sistemas";"21049 - Infraestructura para Ciencia de Datos";"21030 - Electivo de Formación General";"21071 - Construcción I";
"3";"21071 - Tecnología de los Materiales";"21071 - Proyecto de Matricería";"21071 - Historia del Arte";"21049 - Electivo de Formación General I";"21049 - Computación Paralela y Distribuida";
"4";"21041 - Taller para el Desarrollo del Pensamiento Lógico Deductivo";"21049 - Procesamiento Digital de la Información";"21049 - Grafos y Lenguajes Formales";"21041 - Electivo de Formación Especializada II";"21049 - Big Data";
"5";"21030 - Taller de Principios de Sustentabilidad";"21049 - Métodos Numéricos Clásicos";"21041 - Gestión de Recursos Informáticos";"21041 - Ecuaciones Diferenciales";"21030 - Base de Datos";
"6";"21071 - Taller de Maquetería";"21030 - Mecánica para Ingeniería";"21041 - Gestión de Proyectos Informáticos";"21071 - Diseño Asistido por Computador";"21049 - Aplicaciones de Inteligencia Artificial";
"7";"21041 - Taller de Comunicación Efectiva";"21071 - Matemáticas I";"21049 - Fundamentos de Ciencia de Datos";"21041 - Dibujo de Ingeniería";;
"8";"21041 - Sistemas de Información";"21030 - Introducción a la Ingeniería en Informática";"21041 - Evaluación de Proyectos Informáticos";"21071 - Dibujo Técnico II";;
